metric,value,distribution
cheese,0.7282205236650672,zinc22
cheese,0.8203372431672975,zinc22
cheese,0.5803336902516736,zinc22
cheese,0.8333231041412783,zinc22
cheese,0.7055912825365689,zinc22
cheese,0.6734577443932255,zinc22
cheese,0.6798480643683372,zinc22
cheese,0.7826630852999595,zinc22
cheese,0.7101220513007737,zinc22
cheese,0.7538919390343375,zinc22
cheese,0.7150055539336673,zinc22
cheese,0.756948995314727,zinc22
cheese,0.7691985649337811,zinc22
cheese,0.7644097086370525,zinc22
cheese,0.6772518204828437,zinc22
cheese,0.6769430866998553,zinc22
cheese,0.7318169180808922,zinc22
cheese,0.5879377059652334,zinc22
cheese,0.656988513269651,zinc22
cheese,0.7102963160518649,zinc22
cheese,0.7098184245912744,zinc22
cheese,0.6257309045704349,zinc22
cheese,0.6785747152209569,zinc22
cheese,0.7009778463224459,zinc22
cheese,0.6713865268641149,zinc22
cheese,0.7067938089725547,zinc22
cheese,0.7950507904347832,zinc22
cheese,0.5703682698010051,zinc22
cheese,0.6448492757925844,zinc22
cheese,0.5114696272589861,zinc22
cheese,0.6989270132127986,zinc22
cheese,0.6764372367824155,zinc22
cheese,0.6373904542849256,zinc22
cheese,0.6906889031146988,zinc22
cheese,0.7066174860350984,zinc22
cheese,0.7418323125315076,zinc22
cheese,0.697730018692177,zinc22
cheese,0.7232302640883577,zinc22
cheese,0.5287762703946874,zinc22
cheese,0.583088922449417,zinc22
cheese,0.7098388132146987,zinc22
cheese,0.7157874359214773,zinc22
cheese,0.6415612375170625,zinc22
cheese,0.70554627544695,zinc22
cheese,0.628777429519636,zinc22
cheese,0.5706536450681632,zinc22
cheese,0.6259340741256334,zinc22
cheese,0.5437985309722234,zinc22
cheese,0.6190456973562181,zinc22
cheese,0.6135214910005626,zinc22
cheese,0.728384329122686,zinc22
cheese,0.5466823706130866,zinc22
cheese,0.6731838422414611,zinc22
cheese,0.7240019451005307,zinc22
cheese,0.6081404052358047,zinc22
cheese,0.6389627565634358,zinc22
cheese,0.67090741831923,zinc22
cheese,0.6525493355357879,zinc22
cheese,0.5689733921231143,zinc22
cheese,0.4686469066902617,zinc22
cheese,0.6309080470717408,zinc22
cheese,0.6532958356167088,zinc22
cheese,0.5675931835599903,zinc22
cheese,0.7108371126316789,zinc22
cheese,0.6621108449220453,zinc22
cheese,0.505612550345165,zinc22
cheese,0.6962425999257935,zinc22
cheese,0.7311152785750856,zinc22
cheese,0.6450016635273979,zinc22
cheese,0.633517299921813,zinc22
cheese,0.6628230035742739,zinc22
cheese,0.7070718976002427,zinc22
cheese,0.6085396157927966,zinc22
cheese,0.7639149873912386,zinc22
cheese,0.6443163953674208,zinc22
